,company_name,old,total_employees,cities,type,industry,rating
182,Courtyard by Marriott, 97 years old , 1k-5k Employees ,Ahmedabad,Public,Hospitality,4-5
183,Cipla, 89 years old , 10k-50k Employees ,Ahmedabad,Public,Pharma,4-5
184,PVR Cinemas, 27 years old , 1k-5k Employees ,Ahmedabad,Public,Media & Entertainment,4-5
185,Trent, 26 years old , 10k-50k Employees ,Ahmedabad,Public,Retail,4-5
186,L&T Finance, 30 years old , 10k-50k Employees ,Ahmedabad,Public,Nbfc,3-4
187,Abbott, 136 years old , 10k-50k Employees ,Ahmedabad,Public,Pharma,4-5
188,Kotak Mahindara Life Insurance, 23 years old , 10k-50k Employees ,Ahmedabad,Public,Insurance,3-4
189,Spinny, 9 years old , 1k-5k Employees ,Ahmedabad,Indian Unicorn,Internet,3-4
190,Accenture, 35 years old , 1 Lakh+ Employees ,Ahmedabad,Public,It Services & Consulting,3-4
191,Ambuja Cements, 41 years old , 5k-10k Employees ,Ahmedabad,Public,Building Material,3-4
192,Atul Auto, 38 years old , 501-1k Employees ,Ahmedabad,Public,Automobile,3-4
193,Kotak Mahindra Prime, 28 years old , 5k-10k Employees ,Ahmedabad,Public,Nbfc,3-4
194,SYSTRA, 67 years old , 501-1k Employees ,Ahmedabad,Public,Engineering & Construction,4-5
195,Jubilant Foods Works, 29 years old , 10k-50k Employees ,Ahmedabad,Public,Hospitality,3-4
196,USHA International, 90 years old , 1k-5k Employees ,Ahmedabad,Public,Consumer Electronics & Appliances,4-5
197,Tata AutoComp Systems, 29 years old , 1k-5k Employees ,Ahmedabad,Public,Auto Components,3-4
198,Bodal Chemicals, 38 years old , 201-500 Employees ,Ahmedabad,Public,Chemicals / Agri Inputs,3-4
199,Sintex-bapl, 17 years old , 501-1k Employees ,Ahmedabad,Public,Petrochemicals,3-4
200,Sintex-bapl, 17 years old , 501-1k Employees ,Ahmedabad,Public,Petrochemicals,3-4
201,XpressBees, 9 years old , 5k-10k Employees ,Ahmedabad,Indian Unicorn,Logistics,3-4
202,CBRE, 118 years old , 10k-50k Employees ,Ahmedabad,Forbes Global 2000,Real Estate,4-5
203,Berger Paints, 101 years old , 1k-5k Employees ,Ahmedabad,Public,Chemicals,3-4
204,Landmark Group, 51 years old , 1k-5k Employees ,Ahmedabad,Conglomerate,Retail,4-5
205,Stovec Industries, 51 years old , 51-200 Employees ,Ahmedabad,Public,Industrial Machinery,3-4
206,Suzuki, 10 years old , 10k-50k Employees ,Ahmedabad,Forbes Global 2000,Automobile,4-5
207,Hester Biosciences, 41 years old , 201-500 Employees ,Ahmedabad,Public,Biotechnology,4-5
208,Gujarat Gas, 44 years old , 1k-5k Employees ,Ahmedabad,Public,Oil & Gas,4-5
209,Team Lease, 8 years old , 1k-5k Employees ,Ahmedabad,Public,Recruitment,3-4
210,Riddhi Corporate Services, 14 years old , 11-50 Employees ,Ahmedabad,Public,It Services & Consulting,3-4
211,Gujarat Heavy Chemicals, 41 years old , 1k-5k Employees ,Ahmedabad,Public,Chemicals,3-4
212,Crowne Plaza, 41 years old , 501-1k Employees ,Ahmedabad,Public,Hospitality,4-5
213,Domino's Pizza, 64 years old , 1k-5k Employees ,Ahmedabad,Public,Hospitality,3-4
214,Poonawalla Fincorp, 36 years old , 1k-5k Employees ,Ahmedabad,Public,Nbfc,3-4
215,Inox Wind, 15 years old , 501-1k Employees ,Ahmedabad,Public,Power,3-4
216,JK Cement, 49 years old , 1k-5k Employees ,Ahmedabad,Public,Building Material,4-5
217,Spicejet, 20 years old , 5k-10k Employees ,Ahmedabad,Public,Aviation,3-4
218,IDBI Bank, 60 years old , 10k-50k Employees ,Ahmedabad,Public,Banking,3-4
219,Godfrey Phillips India, 91 years old , 501-1k Employees ,Ahmedabad,Public,Fmcg,4-5
220,Titan Company, 40 years old , 5k-10k Employees ,Ahmedabad,Public,Retail,4-5
221,Godfrey Phillips India, 91 years old , 501-1k Employees ,Ahmedabad,Public,Fmcg,4-5
222,IDBI Bank, 60 years old , 10k-50k Employees ,Ahmedabad,Public,Banking,3-4
223,Inox Wind, 15 years old , 501-1k Employees ,Ahmedabad,Public,Power,3-4
224,Titan Company, 40 years old , 5k-10k Employees ,Ahmedabad,Public,Retail,4-5
225,RBL Bank, 81 years old , 10k-50k Employees ,Ahmedabad,Public,Banking,3-4
226,Airan Consultant, 29 years old , 51-200 Employees ,Ahmedabad,Public,It Services & Consulting,4-5
227,Kalpataru Power Transmission, 43 years old , 1k-5k Employees ,Ahmedabad,Public,Engineering & Construction,4-5
228,R for Rabbit Baby Products, 10 years old , 11-50 Employees ,Ahmedabad,Startup,Internet,4-5
229,CenturyPly, 38 years old , 1k-5k Employees ,Ahmedabad,Public,Furniture & Furnishing,3-4
230,Varun Beverages, 29 years old , 5k-10k Employees ,Ahmedabad,Public,Beverage,4-5
231,Dangee Dums, 13 years old , 51-200 Employees ,Ahmedabad,Public,Fmcg,3-4
232,Fiem Industries, 35 years old , 501-1k Employees ,Ahmedabad,Public,Auto Components,3-4
