,company_name,company_rating,old,total_employees,cities,type,industry
274,Apexon,3.4, 28 years old , 1k-5k Employees , Pune +15 more,,
275,Plastic Omnium,3.9, 78 years old , 201-500 Employees , Pune +19 more,,
276,FIGMD,3.1, 14 years old , 501-1k Employees , Pune,,
277,Tenneco,3.8, 84 years old , 1k-5k Employees , Pune +35 more, Forbes Global 2000 ,Auto Components 
278,Coditas Technologies,3.2, 10 years old , 501-1k Employees , Pune +2 more,,
279,AM Infoweb,3.8, 16 years old , 1k-5k Employees , Pune +2 more,,
280,EMERSON PROCESS MANAGEMENT,4.1, 134 years old , 1k-5k Employees , Pune +28 more, Public ,Industrial Machinery 
281,Hinduja Global Solutions,4.0, 24 years old , 10k-50k Employees , Pune +104 more, Public ,IT Services & Consulting 
282,Tata Toyo Radiator,3.8, 26 years old , 201-500 Employees , Pune +10 more,,
283,Team Lease,4.0, 8 years old , 1k-5k Employees , Pune +311 more, Public ,Recruitment 
284,Sedemac Mechatronics,4.1, 17 years old , 201-500 Employees , Pune +3 more,,
285,Zimetrics Technologies,4.5, 9 years old , 201-500 Employees , Pune +5 more,,
286,SYSKA LED Lights,2.9, 12 years old , 1k-5k Employees (Global) , Pune +151 more, Startup ,Consumer Electronics & Appliances 
287,Sopra Steria,4.0, 56 years old , 5k-10k Employees , Pune +15 more, Conglomerate ,IT Services & Consulting 
288,GlobalStep,3.1, 17 years old , 501-1k Employees , Pune +3 more,,
289,S. M. Auto Engineering,3.5, 48 years old , 501-1k Employees , Pune +6 more,,
290,Reliance Industries,4.1, 47 years old , 1 Lakh+ Employees , Pune +687 more, Public ,Oil & Gas 
291,QUICK HEAL TECHNOLOGIES,3.9, 29 years old , 1k-5k Employees , Pune +43 more, Public ,Software Product 
292,MAHLE ANAND Filter Systems,4.2, 19 years old , 1k-5k Employees , Pune +25 more,,
293,Red Hat,4.3, 31 years old , 1k-5k Employees , Pune +10 more,,
