,company_name,company_rating,old,total_employees,cities,type,industry
276,Torrent Pharmaceuticals,4.0, 53 years old , 10k-50k Employees , Indore +97 more, Public ,Pharma 
277,Adani Wilmar,4.2, 25 years old , 1k-5k Employees , Indore +154 more, Public ,FMCG 
278,K Tek Resourcing,3.3,, 201-500 Employees , Indore +2 more,,
279,Symbiosis University of Applied Sciences,3.8,, 51-200 Employees , Indore +1 more,,
280,Axis Direct,3.9, 13 years old , 1k-5k Employees , Indore +258 more,,
281,Vistaar Finance,4.2, 14 years old , 1k-5k Employees , Indore +163 more,,
282,I Process Services,3.9, 19 years old , 1k-5k Employees , Indore +305 more,,
283,Persistent Systems,3.8, 34 years old , 10k-50k Employees , Indore +33 more, Public ,IT Services & Consulting 
284,Lotus Electronics,4.7, 24 years old , 201-500 Employees (Global) , Indore +9 more, Public ,Consumer Electronics & Appliances 
285,KENT RO Systems,4.1, 25 years old , 1k-5k Employees , Indore +139 more,,
286,Indus Towers,4.0, 17 years old , 1k-5k Employees , Indore +159 more, Fortune India 500 ,Telecom 
287,GATI-KWE,4.0, 12 years old , 1k-5k Employees , Indore +156 more,,
288,Shoppers Stop,4.1, 33 years old , 5k-10k Employees , Indore +66 more, Public ,Retail 
289,HotWax Systems,2.8,, 51-200 Employees , Indore,,
290,LG Electronics,4.1, 66 years old , 1k-5k Employees , Indore +246 more, Public ,Consumer Electronics & Appliances 
291,Future Group,4.3, 11 years old , 10k-50k Employees , Indore +196 more, Conglomerate ,Retail 
292,Innovsource Services,4.0, 20 years old , 1k-5k Employees , Indore +199 more,,
293,Star Health & Allied Insurance,3.9, 18 years old , 10k-50k Employees , Indore +247 more, Fortune India 500 ,Insurance 
294,JIE LIAN MOBILE INDIA,4.0,,,Indore +11 more,,
295,Vedang Cellular Services,4.0, 14 years old , 1k-5k Employees , Indore +57 more,,
296,Safexpress,4.1, 27 years old , 1k-5k Employees , Indore +141 more, Conglomerate ,Logistics 
297,Kriti Nutrients,4.4, 28 years old , 501-1k Employees , Indore +5 more, Public ,Agro Chemicals 
298,Laxyo Energy,4.1, 17 years old , 501-1k Employees , Indore +9 more,,
299,SAGE UNIVERSITY,4.0,,, Indore +2 more,,
300,Innovsource Services,4.0, 20 years old , 1k-5k Employees , Indore +199 more,,
301,Safexpress,4.1, 27 years old , 1k-5k Employees , Indore +141 more, Conglomerate ,Logistics 
302,Extramarks Education,3.5, 17 years old , 1k-5k Employees , Indore +101 more,,
303,Kriti Nutrients,4.4, 28 years old , 501-1k Employees , Indore +5 more, Public ,Agro Chemicals 
304,FORTUNE SHAPERS,4.4,, 11-50 Employees , Indore,,
305,ClassMonitor,3.5, 8 years old , 51-200 Employees , Indore, Startup ,Internet 
306,Diaspark Infotech,4.5, 29 years old , 201-500 Employees , Indore +2 more,,
307,Aditya Birla Sun Life Insurance,4.2, 24 years old , 10k-50k Employees , Indore +374 more,,
308,Gyanohm Learning,3.3, 5 years old , 51-200 Employees , Indore,,
309,Software Galaxy Systems,3.4,,,Indore +1 more,,
