,company_name,company_rating,old,total_employees,cities,type,industry
187,Infosys,3.8, 43 years old , 1 Lakh+ Employees , Bengaluru/Bangalore +182 more, Public ,IT Services & Consulting 
188,HCLTech,3.7, 33 years old , 1 Lakh+ Employees , Noida +184 more, Public ,IT Services & Consulting 
189,Tech Mahindra,3.7, 38 years old , 1 Lakh+ Employees , Pune +269 more, Public ,IT Services & Consulting 
190,Genpact,3.9, 27 years old , 1 Lakh+ Employees , New York +112 more, Public ,IT Services & Consulting 
191,Axis Bank,3.9, 31 years old , 50k-1 Lakh Employees , Mumbai +1317 more, Public ,Banking 
192,Teleperformance,3.8, 46 years old , 50k-1 Lakh Employees , Paris +192 more, Forbes Global 2000 ,BPO 
193,Concentrix Corporation,3.9, 41 years old , 50k-1 Lakh Employees , Fremont +117 more, Public ,BPO 
194,Jio,4.0, 6 years old , 50k-1 Lakh Employees , Navi Mumbai +1175 more, Public ,Telecom 
195,Amazon,4.1, 30 years old , 1 Lakh+ Employees , Seattle +455 more, Public ,Internet 
196,IBM,4.1, 113 years old , 1 Lakh+ Employees , Armonk +149 more, Public ,IT Services & Consulting 
197,Reliance Retail,4.0, 18 years old , 1 Lakh+ Employees , Navi Mumbai +1013 more,,
198,HDB Financial Services,4.0, 17 years old , 1 Lakh+ Employees , Ahmedabad +959 more,,
199,Larsen & Toubro Limited,4.1, 86 years old , 10k-50k Employees , Mumbai +623 more, Public ,Engineering & Construction 
200,TCS,3.8, 56 years old , 1 Lakh+ Employees , Mumbai +349 more, Public ,IT Services & Consulting 
201,Accenture,4.0, 35 years old , 1 Lakh+ Employees , Dublin +181 more, Public ,IT Services & Consulting 
202,Cognizant,3.9, 30 years old , 1 Lakh+ Employees , Teaneck. New Jersey. +169 more, Forbes Global 2000 ,IT Services & Consulting 
203,Wipro,3.8, 79 years old , 1 Lakh+ Employees , Bangalore/Bengaluru +272 more, Public ,IT Services & Consulting 
204,Capgemini,3.8, 57 years old , 1 Lakh+ Employees , Paris +142 more, Public ,IT Services & Consulting 
205,HDFC Bank,4.0, 30 years old , 1 Lakh+ Employees , Mumbai +1560 more, Public ,Banking 
206,ICICI Bank,4.0, 30 years old , 1 Lakh+ Employees , Mumbai +1295 more, Public ,Banking 
207,Infosys,3.8, 43 years old , 1 Lakh+ Employees , Bengaluru/Bangalore +182 more, Public ,IT Services & Consulting 
208,HCLTech,3.7, 33 years old , 1 Lakh+ Employees , Noida +184 more, Public ,IT Services & Consulting 
209,Tech Mahindra,3.7, 38 years old , 1 Lakh+ Employees , Pune +269 more, Public ,IT Services & Consulting 
210,Genpact,3.9, 27 years old , 1 Lakh+ Employees , Hyderabad / Secunderabad +112 more, Public ,IT Services & Consulting 
211,Axis Bank,3.9, 31 years old , 50k-1 Lakh Employees , Patancheru +1317 more, Public ,Banking 
212,Teleperformance,3.8, 46 years old , 50k-1 Lakh Employees , Gurgaon / Gurugram +192 more, Forbes Global 2000 ,BPO 
213,Concentrix Corporation,3.9, 41 years old , 50k-1 Lakh Employees , Gurgaon / Gurugram +117 more, Public ,BPO 
214,Jio,4.0, 6 years old , 50k-1 Lakh Employees , Navi Mumbai +1175 more, Public ,Telecom 
215,Amazon,4.1, 30 years old , 1 Lakh+ Employees , Patancheru +455 more, Public ,Internet 
216,IBM,4.1, 113 years old , 1 Lakh+ Employees , Bangalore / Bengaluru +149 more, Public ,IT Services & Consulting 
217,Reliance Retail,4.0, 18 years old , 1 Lakh+ Employees , Patancheru +1013 more,,
218,HDB Financial Services,4.0, 17 years old , 1 Lakh+ Employees , New Delhi +959 more,,
219,Larsen & Toubro Limited,4.1, 86 years old , 10k-50k Employees , Chennai +623 more, Public ,Engineering & Construction 
220,TCS,3.8, 56 years old , 1 Lakh+ Employees , Mumbai +349 more, Public ,IT Services & Consulting 
221,Accenture,4.0, 35 years old , 1 Lakh+ Employees , Dublin +181 more, Public ,IT Services & Consulting 
222,Cognizant,3.9, 30 years old , 1 Lakh+ Employees , Teaneck. New Jersey. +169 more, Forbes Global 2000 ,IT Services & Consulting 
